"lon" "lat" "date" "SPEI"
"90" 14.0499 45.6499 "1950-03-31" -1.90135133768549
"91" 14.0499 45.6499 "1950-04-01" -1.97812877034415
"92" 14.0499 45.6499 "1950-04-02" -2.11746424698029
"93" 14.0499 45.6499 "1950-04-03" 13.9704295068326
"94" 14.0499 45.6499 "1950-04-04" -1.12367157378684
"95" 14.0499 45.6499 "1950-04-05" -1.60256407032171
"96" 14.0499 45.6499 "1950-04-06" -1.9245499944193
"97" 14.0499 45.6499 "1950-04-07" -2.14675262146783
"98" 14.0499 45.6499 "1950-04-08" -2.51268233848174
"99" 14.0499 45.6499 "1950-04-09" -2.64178942797793
"100" 14.0499 45.6499 "1950-04-10" 5.09041692923428
"101" 14.0499 45.6499 "1950-04-11" 3.75174503920866
"102" 14.0499 45.6499 "1950-04-12" 9.86297646535645
"103" 14.0499 45.6499 "1950-04-13" 5.79856234653757
"104" 14.0499 45.6499 "1950-04-14" 4.52669880492923
"105" 14.0499 45.6499 "1950-04-15" 8.51880769105393
"106" 14.0499 45.6499 "1950-04-16" 16.4769087529354
"107" 14.0499 45.6499 "1950-04-17" 10.5062157468365
"108" 14.0499 45.6499 "1950-04-18" -2.1791747239364
"109" 14.0499 45.6499 "1950-04-19" 0.533355482137873
"110" 14.0499 45.6499 "1950-04-20" -2.76788538013738
"111" 14.0499 45.6499 "1950-04-21" -3.41547635286616
"112" 14.0499 45.6499 "1950-04-22" 2.92005333366397
"113" 14.0499 45.6499 "1950-04-23" 6.41538291704797
"114" 14.0499 45.6499 "1950-04-24" 11.5821846679331
"115" 14.0499 45.6499 "1950-04-25" 7.42729369627958
"116" 14.0499 45.6499 "1950-04-26" 1.71042990407617
"117" 14.0499 45.6499 "1950-04-27" 5.8700112257028
"118" 14.0499 45.6499 "1950-04-28" -1.8741547331892
"119" 14.0499 45.6499 "1950-04-29" -3.25271486211921
"120" 14.0499 45.6499 "1950-04-30" -3.06397668013218
"121" 14.0499 45.6499 "1950-05-01" -2.2346779863464
"122" 14.0499 45.6499 "1950-05-02" -2.67712633641388
"123" 14.0499 45.6499 "1950-05-03" -2.55523919025844
"124" 14.0499 45.6499 "1950-05-04" -2.19713329628685
"125" 14.0499 45.6499 "1950-05-05" -2.44627417623474
"126" 14.0499 45.6499 "1950-05-06" -1.38323758289301
"127" 14.0499 45.6499 "1950-05-07" 1.38009185811751
"128" 14.0499 45.6499 "1950-05-08" 3.22554606634474
"129" 14.0499 45.6499 "1950-05-09" -2.02722459155474
"130" 14.0499 45.6499 "1950-05-10" 2.62885438688227
"131" 14.0499 45.6499 "1950-05-11" -2.30134812945918
"132" 14.0499 45.6499 "1950-05-12" -2.63350223332566
"133" 14.0499 45.6499 "1950-05-13" -2.65142125851889
"134" 14.0499 45.6499 "1950-05-14" -2.74049203870269
"135" 14.0499 45.6499 "1950-05-15" -3.23521273287798
"136" 14.0499 45.6499 "1950-05-16" -2.48904072050927
"137" 14.0499 45.6499 "1950-05-17" -2.88824724789075
"138" 14.0499 45.6499 "1950-05-18" 1.92648417800693
"139" 14.0499 45.6499 "1950-05-19" 7.0278358195254
"140" 14.0499 45.6499 "1950-05-20" -3.25039648292641
"141" 14.0499 45.6499 "1950-05-21" -3.71915260342826
"142" 14.0499 45.6499 "1950-05-22" -3.50027725682188
"143" 14.0499 45.6499 "1950-05-23" -3.3978920722658
"144" 14.0499 45.6499 "1950-05-24" -3.42061240291013
"145" 14.0499 45.6499 "1950-05-25" -4.01841798344341
"146" 14.0499 45.6499 "1950-05-26" -3.82831141739966
"147" 14.0499 45.6499 "1950-05-27" -1.57645800172024
"148" 14.0499 45.6499 "1950-05-28" 17.5291495023334
"149" 14.0499 45.6499 "1950-05-29" -3.36723064509321
"150" 14.0499 45.6499 "1950-05-30" -4.19039461495354
"151" 14.0499 45.6499 "1950-05-31" -3.92538782824952
"152" 14.0499 45.6499 "1950-06-01" 1.4034321043635
"153" 14.0499 45.6499 "1950-06-02" -1.86938341245614
"154" 14.0499 45.6499 "1950-06-03" -2.61844996618747
"155" 14.0499 45.6499 "1950-06-04" -2.6704629738053
